DATE,GDP
2013-01-01,16629.05
2013-04-01,16699.551
2013-07-01,16911.068
2013-10-01,17133.114
2014-01-01,17144.281
2014-04-01,17462.703
2014-07-01,17743.227
2014-10-01,17852.54
2015-01-01,17991.348
2015-04-01,18193.707
2015-07-01,18306.96
2015-10-01,18332.079
2016-01-01,18425.306
2016-04-01,18611.617
2016-07-01,18775.459
2016-10-01,18968.041
2017-01-01,19153.912
2017-04-01,19322.92
2017-07-01,19558.693
2017-10-01,19882.965
2018-01-01,20143.716
2018-04-01,20492.492
2018-07-01,20659.102
2018-10-01,20813.325
2019-01-01,21001.591
2019-04-01,21289.268
2019-07-01,21505.012
2019-10-01,21694.458
2020-01-01,21481.367
2020-04-01,19477.444
2020-07-01,21138.574
2020-10-01,21477.597
2021-01-01,22038.226
2021-04-01,22740.959
2021-07-01,23202.344
2021-10-01,24002.815
2022-01-01,24382.683
