"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"backports","backports","C:/Program Files/R/R-4.2.3/library","1.4.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"bacondecomp","bacondecomp","C:/Program Files/R/R-4.2.3/library","0.1.1",NA,"R (>= 2.10)",NA,NA,"knitr, rmarkdown, testthat, ggplot2, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"base","base","C:/Program Files/R/R-4.2.3/library","4.2.3","base",NA,NA,NA,"methods",NA,"Part of R 4.2.3",NA,NA,NA,NA,NA,"4.2.3"
"base64enc","base64enc","C:/Program Files/R/R-4.2.3/library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"bbmle","bbmle","C:/Program Files/R/R-4.2.3/library","1.0.25",NA,"R (>= 3.0.0), stats4","stats, numDeriv, lattice, MASS, methods, bdsmatrix, Matrix,
mvtnorm",NA,"emdbook, rms, ggplot2, RUnit, MuMIn, AICcmodavg, Hmisc,
optimx (>= 2013.8.6), knitr, testthat",NA,"GPL",NA,NA,NA,NA,"no","4.2.3"
"bdsmatrix","bdsmatrix","C:/Program Files/R/R-4.2.3/library","1.3-6",NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.2.0"
"bestNormalize","bestNormalize","C:/Program Files/R/R-4.2.3/library","1.9.0",NA,"R (>= 3.1.0)","LambertW (>= 0.6.5), nortest, dplyr, doParallel, foreach,
doRNG, recipes, tibble, methods, butcher, purrr, generics",NA,"knitr, rmarkdown, MASS, testthat, mgcv, parallel, ggplot2,
scales, rlang, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"betareg","betareg","C:/Program Files/R/R-4.2.3/library","3.1-4",NA,"R (>= 3.0.0)","graphics, grDevices, methods, stats, flexmix, Formula, lmtest,
modeltools, sandwich",NA,"car, lattice, partykit, strucchange",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.3"
"BH","BH","C:/Program Files/R/R-4.2.3/library","1.81.0-1",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.2.2"
"bit","bit","C:/Program Files/R/R-4.2.3/library","4.0.5",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"bit64","bit64","C:/Program Files/R/R-4.2.3/library","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"bitops","bitops","C:/Program Files/R/R-4.2.3/library","1.0-7",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"blob","blob","C:/Program Files/R/R-4.2.3/library","1.2.4",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"blogdown","blogdown","C:/Program Files/R/R-4.2.3/library","1.17",NA,"R (>= 3.5.0)","bookdown (>= 0.22), htmltools, httpuv (>= 1.4.0), jsonlite,
knitr (>= 1.25), later, rmarkdown (>= 2.8), servr (>= 0.21),
xfun (>= 0.34), yaml (>= 2.1.19)",NA,"miniUI, processx, rstudioapi, shiny, stringr, testit, tools,
whoami",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"BMisc","BMisc","C:/Program Files/R/R-4.2.3/library","1.4.5",NA,"R (>= 3.1.0)","data.table, Rcpp","Rcpp, RcppArmadillo","testthat (>= 3.0.0), plm, tibble",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"bookdown","bookdown","C:/Program Files/R/R-4.2.3/library","0.34",NA,"R (>= 3.5.0)","htmltools (>= 0.3.6), knitr (>= 1.38), rmarkdown (>= 2.14),
jquerylib, xfun (>= 0.39), tinytex (>= 0.12), yaml (>= 2.1.19)",NA,"bslib (>= 0.2.4), downlit (>= 0.4.0), htmlwidgets, jsonlite,
rstudioapi, miniUI, rsconnect (>= 0.4.3), servr (>= 0.13),
shiny, tibble, testit (>= 0.9), tufte, xml2, webshot, testthat
(>= 3.1.0), withr (>= 2.3.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"boot","boot","C:/Program Files/R/R-4.2.3/library","1.3-28.1","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.2.3"
"brew","brew","C:/Program Files/R/R-4.2.3/library","1.0-8",NA,NA,NA,NA,"testthat (>= 3.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"brio","brio","C:/Program Files/R/R-4.2.3/library","1.1.3",NA,NA,NA,NA,"covr, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"broom","broom","C:/Program Files/R/R-4.2.3/library","1.0.5",NA,"R (>= 3.5)","backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, lifecycle, purrr, rlang, stringr, tibble (>= 3.0.0),
tidyr (>= 1.0.0)",NA,"AER, AUC, bbmle, betareg, biglm, binGroup, boot, btergm (>=
1.10.6), car, carData, caret, cluster, cmprsk, coda, covr, drc,
e1071, emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.9.0), gam
(>= 1.15), gee, geepack, ggplot2, glmnet, glmnetUtils, gmm,
Hmisc, irlba, interp, joineRML, Kendall, knitr, ks, Lahman,
lavaan, leaps, lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38),
lsmeans, maps, margins, MASS, mclust, mediation, metafor, mfx,
mgcv, mlogit, modeldata, modeltests, muhaz, multcomp, network,
nnet, orcutt (>= 2.2), ordinal, plm, poLCA, psych, quantreg,
rmarkdown, robust, robustbase, rsample, sandwich, sp, spdep (>=
1.1), spatialreg, speedglm, spelling, survey, survival,
systemfit, testthat (>= 2.1.0), tseries, vars, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"bslib","bslib","C:/Program Files/R/R-4.2.3/library","0.5.0",NA,"R (>= 2.10)","base64enc, cachem, grDevices, htmltools (>= 0.5.4), jquerylib
(>= 0.1.3), jsonlite, memoise (>= 2.0.1), mime, rlang, sass (>=
0.4.0)",NA,"bsicons, curl, fontawesome, ggplot2, knitr, magrittr,
rappdirs, rmarkdown (>= 2.7), shiny (>= 1.6.0), testthat,
thematic, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"butcher","butcher","C:/Program Files/R/R-4.2.3/library","0.3.2",NA,"R (>= 3.5.0)","cli (>= 3.3.0), lobstr (>= 1.1.2), methods, purrr (>= 0.3.4),
rlang (>= 1.0.2), tibble (>= 3.1.7), utils, vctrs (>= 0.4.1)",NA,"C50, caret, clisymbols, ClusterR, clustMixType, covr, dbarts,
ddalpha, dimRed, dplyr, e1071, earth, flexsurv, fs, ipred,
kernlab, kknn, klaR, knitr, MASS, mda, mgcv, modeldata, nnet,
parsnip (>= 0.1.6), pkgload, pls, QSARdata, randomForest,
ranger, RANN, recipes (>= 0.2.0), rmarkdown, rpart, rsample,
RSpectra, sparklyr, survival (>= 3.2-10), testthat (>= 3.0.0),
TH.data, usethis (>= 1.5.0), xgboost (>= 1.3.2.1), xrf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"cachem","cachem","C:/Program Files/R/R-4.2.3/library","1.0.8",NA,NA,"rlang, fastmap (>= 1.1.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"Cairo","Cairo","C:/Program Files/R/R-4.2.3/library","1.6-0",NA,"R (>= 2.4.0)","grDevices, graphics",NA,"png","FastRWeb","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"callr","callr","C:/Program Files/R/R-4.2.3/library","3.7.3",NA,"R (>= 3.4)","processx (>= 3.6.1), R6, utils",NA,"asciicast, cli (>= 1.1.0), covr, mockery, ps, rprojroot,
spelling, testthat (>= 3.0.0), withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"car","car","C:/Program Files/R/R-4.2.3/library","3.1-2",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, lme4 (>= 1.1-27.1), nlme,
scales",NA,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, mvtnorm, rgl (>= 0.111.3), rio, sandwich,
SparseM, survival, survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"carData","carData","C:/Program Files/R/R-4.2.3/library","3.0-5",NA,"R (>= 3.5.0)",NA,NA,"car (>= 3.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"caTools","caTools","C:/Program Files/R/R-4.2.3/library","1.18.2",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"causaldata","causaldata","C:/Program Files/R/R-4.2.3/library","0.1.3",NA,"R (>= 2.10)","tibble",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"CBPS","CBPS","C:/Program Files/R/R-4.2.3/library","0.23",NA,"R (>= 3.4), MASS, MatchIt, nnet, numDeriv, glmnet","",NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"cellranger","cellranger","C:/Program Files/R/R-4.2.3/library","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"cem","cem","C:/Program Files/R/R-4.2.3/library","1.1.31",NA,"tcltk, lattice","MatchIt, combinat, randomForest, nlme",NA,"Amelia(>= 1.2-0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"ChannelAttribution","ChannelAttribution","C:/Program Files/R/R-4.2.3/library","2.0.7",NA,NA,"Rcpp","Rcpp, RcppArmadillo",NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"checkmate","checkmate","C:/Program Files/R/R-4.2.3/library","2.1.0",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
3.0.4), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"chromote","chromote","C:/Program Files/R/R-4.2.3/library","0.1.1",NA,NA,"curl, jsonlite, websocket (>= 1.2.0), processx, R6, later (>=
1.1.0), promises (>= 1.1.1), magrittr, rlang, fastmap",NA,"testthat (>= 3.0.0), showimage",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"chronicle","chronicle","C:/Program Files/R/R-4.2.3/library","0.3",NA,"R (>= 3.5.0), magrittr","data.table, DT, dplyr, dygraphs, ggplot2, glue, knitr, plotly,
prettydoc, purrr, readr, rlang, rmarkdown, rmdformats, scales,
skimr, stats, viridis, zoo",NA,"bookdown, devtools, flexdashboard, pagedown, rolldown,
rticles, tufte, xaringan",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.3"
"class","class","C:/Program Files/R/R-4.2.3/library","7.3-21","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"classInt","classInt","C:/Program Files/R/R-4.2.3/library","0.4-9",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units, knitr, rmarkdown, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"cli","cli","C:/Program Files/R/R-4.2.3/library","3.6.1",NA,"R (>= 3.4)","utils",NA,"callr, covr, crayon, digest, glue (>= 1.6.0), grDevices,
htmltools, htmlwidgets, knitr, methods, mockery, processx, ps
(>= 1.3.4.9000), rlang (>= 1.0.2.9003), rmarkdown, rprojroot,
rstudioapi, testthat, tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"clipr","clipr","C:/Program Files/R/R-4.2.3/library","0.8.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"clock","clock","C:/Program Files/R/R-4.2.3/library","0.6.1",NA,"R (>= 3.4)","rlang (>= 1.0.4), tzdb (>= 0.3.0), vctrs (>= 0.4.1)","cpp11 (>= 0.4.2), tzdb (>= 0.3.0)","covr, knitr, magrittr, pillar, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"clubSandwich","clubSandwich","C:/Program Files/R/R-4.2.3/library","0.5.8",NA,"R (>= 3.0.0)","stats, sandwich",NA,"Formula, knitr, carData, geepack, metafor, metadat, robumeta,
nlme, mlmRev, AER, plm (>= 1.6-4), Matrix, lme4, zoo, testthat,
rmarkdown, covr, ivreg",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"cluster","cluster","C:/Program Files/R/R-4.2.3/library","2.1.4","recommended","R (>= 3.5.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"coda","coda","C:/Program Files/R/R-4.2.3/library","0.19-4",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"codetools","codetools","C:/Program Files/R/R-4.2.3/library","0.2-19","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.2.3"
"coin","coin","C:/Program Files/R/R-4.2.3/library","1.4-2",NA,"R (>= 3.6.0), survival","methods, parallel, stats, stats4, utils, libcoin (>= 1.0-9),
matrixStats (>= 0.54.0), modeltools (>= 0.2-9), mvtnorm (>=
1.0-5), multcomp","libcoin (>= 1.0-9)","xtable, e1071, vcd, TH.data (>= 1.0-7)",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"collapse","collapse","C:/Program Files/R/R-4.2.3/library","1.9.4",NA,"R (>= 3.3.0)","Rcpp (>= 1.0.1)","Rcpp","fastverse, data.table, magrittr, kit, xts, zoo, plm, fixest,
vars, RcppArmadillo, RcppEigen, tibble, dplyr, ggplot2, scales,
microbenchmark, testthat, covr, knitr, rmarkdown",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"colorspace","colorspace","C:/Program Files/R/R-4.2.3/library","2.1-0",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"combinat","combinat","C:/Program Files/R/R-4.2.3/library","0.0-8",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.2.0"
"commonmark","commonmark","C:/Program Files/R/R-4.2.3/library","1.9.0",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"compiler","compiler","C:/Program Files/R/R-4.2.3/library","4.2.3","base",NA,NA,NA,NA,NA,"Part of R 4.2.3",NA,NA,NA,NA,NA,"4.2.3"
"conflicted","conflicted","C:/Program Files/R/R-4.2.3/library","1.2.0",NA,"R (>= 3.2)","cli (>= 3.4.0), memoise, rlang (>= 1.0.0)",NA,"callr, covr, dplyr, Matrix, methods, pkgload, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"conjoint","conjoint","C:/Program Files/R/R-4.2.3/library","1.41",NA,NA,"AlgDesign, stats, grDevices, graphics, fpc, broom, ggplot2,
cluster, ggfortify",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"corpcor","corpcor","C:/Program Files/R/R-4.2.3/library","1.6.10",NA,"R (>= 3.0.2)","stats",NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"corrplot","corrplot","C:/Program Files/R/R-4.2.3/library","0.92",NA,NA,NA,NA,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"covr","covr","C:/Program Files/R/R-4.2.3/library","3.6.2",NA,"R (>= 3.1.0), methods","digest, stats, utils, jsonlite, rex, httr, crayon, withr (>=
1.0.2), yaml",NA,"R6, curl, knitr, rmarkdown, htmltools, DT (>= 0.2), testthat,
rlang, rstudioapi (>= 0.2), xml2 (>= 1.0.0), parallel, memoise,
mockery, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"cowplot","cowplot","C:/Program Files/R/R-4.2.3/library","1.1.1",NA,"R (>= 3.5.0)","ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"cpp11","cpp11","C:/Program Files/R/R-4.2.3/library","0.4.3",NA,NA,NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat, tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"crayon","crayon","C:/Program Files/R/R-4.2.3/library","1.5.2",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"credentials","credentials","C:/Program Files/R/R-4.2.3/library","1.3.2",NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"crosstalk","crosstalk","C:/Program Files/R/R-4.2.3/library","1.2.0",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"crseEventStudy","crseEventStudy","C:/Program Files/R/R-4.2.3/library","1.2.2",NA,"R (>= 3.5)","methods, stats, sandwich",NA,"testthat",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"cubature","cubature","C:/Program Files/R/R-4.2.3/library","2.1.0",NA,NA,"Rcpp","Rcpp","testthat, knitr, mvtnorm, benchr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"curl","curl","C:/Program Files/R/R-4.2.3/library","5.0.0",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"dagitty","dagitty","C:/Program Files/R/R-4.2.3/library","0.3-1",NA,"R (>= 3.0.0)","V8, jsonlite, boot, MASS, methods, grDevices, stats, utils,
graphics",NA,"knitr, base64enc (>= 0.1-3), testthat, markdown, rmarkdown,
lavaan",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"data.table","data.table","C:/Program Files/R/R-4.2.3/library","1.14.8",NA,"R (>= 3.1.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), curl, R.utils, xts,
nanotime, zoo (>= 1.8-1), yaml, knitr, rmarkdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"DataExplorer","DataExplorer","C:/Program Files/R/R-4.2.3/library","0.8.2",NA,"R (>= 3.6)","data.table (>= 1.13.4), reshape2 (>= 1.4.3), scales (>=
1.1.0), ggplot2, gridExtra, rmarkdown (>= 2.5), networkD3 (>=
0.4), stats, utils, tools, parallel",NA,"testthat, covr, knitr, jsonlite, nycflights13",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"datasets","datasets","C:/Program Files/R/R-4.2.3/library","4.2.3","base",NA,NA,NA,NA,NA,"Part of R 4.2.3",NA,NA,NA,NA,NA,"4.2.3"
"datawizard","datawizard","C:/Program Files/R/R-4.2.3/library","0.7.1",NA,"R (>= 3.6)","insight (>= 0.19.1), stats, utils",NA,"bayestestR, boot, brms, data.table, dplyr (>= 1.0),
effectsize, gamm4, ggplot2, gt, haven, htmltools, httr, knitr,
lme4, mediation, parameters (>= 0.20.2), poorman (>= 0.2.6),
psych, readxl, readr, rio, rmarkdown, rstanarm, see, testthat
(>= 3.1.6), tidyr, withr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.3"
"DBI","DBI","C:/Program Files/R/R-4.2.3/library","1.1.3",NA,"methods, R (>= 3.0.0)",NA,NA,"blob, covr, DBItest, dbplyr, downlit, dplyr, glue, hms,
knitr, magrittr, RMariaDB, rmarkdown, rprojroot, RSQLite (>=
1.1-2), testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.3"
